Line Number,Latitude,Longitude
397,37.02479,-122.05031
398,37.02475,-122.05037
399,37.02474,-122.05038
400,37.0247,-122.05043
401,37.02466,-122.05045
402,37.02458,-122.05047
403,37.02452,-122.05049
404,37.02449,-122.05052
405,37.02446,-122.05056
406,37.02444,-122.05059
407,37.02443,-122.05061
408,37.02439,-122.05065
409,37.02432,-122.05068
410,37.02429,-122.05069
411,37.02428,-122.0507
412,37.02425,-122.05073
413,37.02423,-122.05078
414,37.02419,-122.05086
415,37.02415,-122.05095
416,37.02414,-122.05099
417,37.02413,-122.05105
418,37.02413,-122.05109
419,37.02413,-122.05112
420,37.02414,-122.0512
421,37.02416,-122.05125
422,37.02418,-122.0513
423,37.02418,-122.05131
424,37.02418,-122.05138
425,37.02419,-122.05148
426,37.0242,-122.05153
427,37.0242,-122.05159
428,37.02423,-122.05168
429,37.02424,-122.05175
430,37.02424,-122.05177
431,37.02424,-122.05185
432,37.02422,-122.05194
433,37.02421,-122.05196
434,37.02419,-122.05203
435,37.02417,-122.05211
436,37.02416,-122.05216
437,37.02415,-122.05218
438,37.02414,-122.0522
439,37.02415,-122.05224
440,37.02418,-122.05228
441,37.02423,-122.05232
442,37.02426,-122.05233
443,37.02428,-122.05233
444,37.02435,-122.05236
445,37.02443,-122.05238
446,37.02449,-122.05241
447,37.02454,-122.05244
448,37.02458,-122.05249
449,37.02458,-122.0525
450,37.0246,-122.05254
451,37.02461,-122.05258
452,37.02463,-122.05262
453,37.02466,-122.05268
454,37.02467,-122.05269
455,37.02469,-122.05274
456,37.02471,-122.05282
457,37.0247,-122.05291
458,37.0247,-122.05293
459,37.02468,-122.05302
460,37.02466,-122.05305
461,37.02465,-122.05309
462,37.02464,-122.05311
463,37.02456,-122.05312
464,37.02448,-122.05312
465,37.02446,-122.05312
466,37.02441,-122.05313
467,37.02438,-122.05313
468,37.02435,-122.05313
469,37.02429,-122.05314
470,37.02426,-122.05314
471,37.02416,-122.05315
472,37.02411,-122.05315
473,37.02405,-122.05315
474,37.02397,-122.05315
475,37.02393,-122.05314
476,37.02389,-122.05314
477,37.02379,-122.0531
478,37.02376,-122.05307
479,37.0237,-122.05303
480,37.02365,-122.05297
481,37.02363,-122.05292
482,37.02358,-122.05284
483,37.02353,-122.05273
484,37.02347,-122.0526
485,37.02345,-122.05253
486,37.02337,-122.05233
487,37.02337,-122.05231
488,37.02328,-122.05214
489,37.02326,-122.0521
490,37.02319,-122.05194
491,37.02318,-122.05193
492,37.02317,-122.05183
493,37.02316,-122.05177
494,37.02315,-122.05172
495,37.02314,-122.0515
496,37.02313,-122.05133
497,37.02313,-122.05127
498,37.02312,-122.05105
499,37.02311,-122.05097
500,37.0231,-122.05082
501,37.02309,-122.0506
502,37.02307,-122.05037
503,37.02305,-122.05015
504,37.02305,-122.05008
505,37.023,-122.04994
506,37.02293,-122.04973
507,37.02291,-122.04968
508,37.02288,-122.04952
509,37.02284,-122.04929
510,37.02284,-122.04927
511,37.02286,-122.04907
512,37.02287,-122.04901
513,37.02287,-122.04885
514,37.02287,-122.04873
515,37.0228,-122.04852
516,37.02272,-122.04847
517,37.0226,-122.04839
518,37.02238,-122.04834
519,37.02223,-122.04823
520,37.0222,-122.04821
521,37.02211,-122.04806
522,37.02203,-122.04795
523,37.022,-122.04789
524,37.02189,-122.04771
525,37.02178,-122.04753
526,37.02176,-122.0475
527,37.02163,-122.0474
528,37.02148,-122.04728
529,37.02142,-122.04723
530,37.02134,-122.04714
531,37.02119,-122.047
532,37.02113,-122.04694
533,37.0209,-122.04675
534,37.02075,-122.04662
535,37.0206,-122.0465
536,37.02046,-122.04641
537,37.02027,-122.04633
538,37.02009,-122.04627
539,37.01992,-122.0462
540,37.01978,-122.04615
541,37.01975,-122.04613
542,37.01959,-122.04604
543,37.01942,-122.04594
544,37.01928,-122.04586
545,37.01927,-122.04584
546,37.01918,-122.04564
547,37.01917,-122.04563
548,37.01919,-122.04542
549,37.0192,-122.04537
550,37.01927,-122.04522
551,37.01934,-122.04507
552,37.01948,-122.04487
553,37.01957,-122.04475
554,37.01959,-122.04469
555,37.01966,-122.04452
556,37.01967,-122.04449
557,37.01968,-122.04442
558,37.01964,-122.04434
559,37.01959,-122.04432
560,37.0195,-122.04427
561,37.01942,-122.04424
562,37.01934,-122.04422
563,37.01925,-122.04419
564,37.01909,-122.04415
565,37.01907,-122.04414
566,37.0189,-122.04406
567,37.01882,-122.04402
568,37.01865,-122.04392
569,37.0185,-122.04383
570,37.01849,-122.04382
571,37.01835,-122.04368
572,37.01824,-122.04356
573,37.01821,-122.04353
574,37.01807,-122.0434
575,37.01794,-122.04329
576,37.01792,-122.04328
577,37.01775,-122.04317
578,37.01758,-122.04314
579,37.01752,-122.04312
580,37.0174,-122.04309
581,37.01726,-122.04305
582,37.01723,-122.04303
583,37.01707,-122.04294
584,37.01697,-122.04287
585,37.01692,-122.04282
586,37.01679,-122.04267
587,37.01665,-122.04251
588,37.01648,-122.04224
589,37.01646,-122.04214
590,37.01641,-122.04193
591,37.01641,-122.04192
592,37.01635,-122.04171
593,37.01631,-122.04154
594,37.01629,-122.0415
595,37.01617,-122.04133
596,37.01615,-122.04129
597,37.01604,-122.04118
598,37.01594,-122.04108
599,37.01589,-122.04105
600,37.01573,-122.04095
601,37.01562,-122.04088
602,37.01557,-122.04085
603,37.01542,-122.04073
604,37.01531,-122.04066
605,37.01527,-122.0406
606,37.01508,-122.04035
607,37.01506,-122.04025
608,37.01503,-122.04005
609,37.01501,-122.0398
610,37.01499,-122.03958
611,37.01498,-122.0394
612,37.01497,-122.03936
613,37.01494,-122.03914
614,37.01493,-122.03905
615,37.01497,-122.03892
616,37.01499,-122.03886
617,37.01503,-122.03874
618,37.01503,-122.03865
619,37.01498,-122.03859
620,37.01492,-122.03858
621,37.01487,-122.03858
622,37.01475,-122.03855
623,37.01471,-122.03854
624,37.0146,-122.03842
625,37.01458,-122.0384
626,37.01453,-122.03822
627,37.0145,-122.0381
628,37.01451,-122.038
629,37.01455,-122.03778
630,37.01462,-122.03758
631,37.0147,-122.03737
632,37.01476,-122.03722
633,37.01479,-122.03718
634,37.0149,-122.037
635,37.015,-122.03684
636,37.01501,-122.03682
637,37.0151,-122.03668
638,37.0151,-122.03663
639,37.01512,-122.03654
640,37.01507,-122.03644
641,37.01506,-122.03644
642,37.01492,-122.03635
643,37.0149,-122.03635
644,37.01476,-122.03631
645,37.01473,-122.03627
646,37.01469,-122.03623
647,37.01463,-122.0361
648,37.01463,-122.03609
649,37.0146,-122.03587
650,37.01462,-122.03564
651,37.01465,-122.03542
652,37.01466,-122.03536
653,37.01468,-122.0352
654,37.01471,-122.03498
655,37.01473,-122.0349
656,37.01474,-122.03476
657,37.01475,-122.0347
658,37.01476,-122.03455
659,37.01477976585587,-122.03454820653762
