Line Number,Latitude,Longitude,Trail ID
371,36.95913,-122.08442,8
372,36.9592,-122.0844,8
373,36.95926,-122.08438,8
374,36.9593,-122.08436,8
375,36.95937,-122.08434,8
376,36.95944,-122.08438,8
377,36.95947,-122.0844,8
378,36.95949,-122.08444,8
379,36.95951,-122.08449,8
380,36.95954,-122.08457,8
381,36.95957,-122.08483,8
382,36.9596,-122.08507,8
383,36.95961,-122.08526,8
384,36.95967,-122.08574,8
385,36.95971875357467,-122.08573241149165,8
